Record_ID,Bottle_ID,Customer_Name,Customer_Code,Service_Class,Product_Name,Category,Brand,Bottle_Size,Fill_Level,Seal_Status,Cleanliness_Score,Label_Status,Bottle_Condition,Inbound_Flight,Origin,Destination,SLA_Reuse_Policy,Recommended_Action
1,LIQU_1001,British Airways,BA,First,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,90%,Resealed,Poor,Heavily_Damaged,Excellent,BA370,FRA,HKG,Keep all sealed bottles unopened,Keep
2,SPIR_1002,Emirates,EK,Business,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,100%,Sealed,Excellent,Intact,Excellent,EK705,ZRH,JFK,Replace if fill <80% or label damaged,Keep
3,SPIR_1003,Turkish Airlines,TK,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,70%,Opened,Good,Intact,Poor,TK950,IST,DXB,Refill if fill between 60–80% and reseal,Refill
4,WINE_1004,Emirates,EK,Business,Penfolds Wine 1000ml,Wine,Penfolds,1000,75%,Opened,Fair,Heavily_Damaged,Excellent,EK127,ZRH,IST,Discard all opened bottles,Discard
5,CHAM_1005,Emirates,EK,First,Moët & Chandon Champagne 750ml,Champagne,Moët & Chandon,750,70%,Sealed,Excellent,Heavily_Damaged,Acceptable,EK800,IST,HKG,Refill if fill <90% using incoming bottles and reseal,Refill
6,SPIR_1006,Etihad Airways,EY,First,Johnnie Walker Spirits 1000ml,Spirits,Johnnie Walker,1000,55%,Resealed,Excellent,Intact,Acceptable,EY898,SIN,ZRH,Replace if fill <80% or label damaged,Replace
7,CHAM_1007,British Airways,BA,Business,Veuve Clicquot Champagne 750ml,Champagne,Veuve Clicquot,750,50%,Opened,Excellent,Heavily_Damaged,Poor,BA886,FRA,SIN,Refill if fill <90% using incoming bottles and reseal,Refill
8,LIQU_1008,Emirates,EK,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,50%,Opened,Poor,Intact,Excellent,EK897,SIN,IST,Replace if fill <80% or label damaged,Replace
9,CHAM_1009,British Airways,BA,Business,Taittinger Champagne 750ml,Champagne,Taittinger,750,75%,Sealed,Excellent,Intact,Excellent,BA886,JFK,FRA,Discard all opened bottles,Discard
10,CHAM_1010,Lufthansa,LH,First,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,95%,Sealed,Fair,Slightly_Damaged,Poor,LH440,FRA,DOH,Refill if fill between 60–80% and reseal,Keep
11,LIQU_1011,Qatar Airways,QR,First,Grand Marnier Liqueur 1000ml,Liqueur,Grand Marnier,1000,90%,Resealed,Excellent,Slightly_Damaged,Poor,QR663,DXB,ZRH,Refill if fill <90% using incoming bottles and reseal,Keep
12,LIQU_1012,Etihad Airways,EY,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,80%,Opened,Excellent,Heavily_Damaged,Poor,EY430,DOH,HKG,Refill if fill between 60–80% and reseal,Refill
13,SPIR_1013,Singapore Airlines,SQ,Business,Absolut Spirits 1000ml,Spirits,Absolut,1000,50%,Resealed,Excellent,Heavily_Damaged,Acceptable,SQ430,ZRH,DOH,"If fill 100% but opened, add 1 additional sealed bottle",Keep
14,LIQU_1014,Qatar Airways,QR,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,80%,Resealed,Fair,Heavily_Damaged,Excellent,QR201,JFK,HKG,Discard all opened bottles,Discard
15,SPIR_1015,Emirates,EK,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,90%,Sealed,Fair,Heavily_Damaged,Acceptable,EK980,DOH,ZRH,Keep if fill >85% and resealed,Keep
16,LIQU_1016,Turkish Airlines,TK,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,65%,Sealed,Good,Slightly_Damaged,Excellent,TK269,DOH,HKG,Keep if fill >85% and resealed,Keep
17,LIQU_1017,Swiss Intl Air Lines,LX,First,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,65%,Opened,Good,Heavily_Damaged,Poor,LX432,DXB,DOH,Reuse if >70% fill and sealed,Keep
18,SPIR_1018,Etihad Airways,EY,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,85%,Resealed,Poor,Heavily_Damaged,Poor,EY101,DXB,ZRH,Keep all sealed bottles unopened,Keep
19,CHAM_1019,British Airways,BA,First,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,75%,Opened,Poor,Slightly_Damaged,Acceptable,BA390,IST,LHR,Keep if fill >85% and resealed,Keep
20,CHAM_1020,Cathay Pacific,CX,First,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,70%,Opened,Fair,Heavily_Damaged,Excellent,CX257,FRA,DXB,"If fill 100% but opened, add 1 additional sealed bottle",Keep
21,WINE_1021,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,85%,Sealed,Poor,Intact,Poor,SQ800,LHR,CDG,Replace if fill <80% or label damaged,Keep
22,LIQU_1022,Swiss Intl Air Lines,LX,First,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,100%,Sealed,Poor,Intact,Poor,LX518,IST,DOH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
23,SPIR_1023,Qatar Airways,QR,First,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,50%,Resealed,Fair,Intact,Poor,QR961,HKG,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
24,SPIR_1024,Swiss Intl Air Lines,LX,Business,Johnnie Walker Spirits 1000ml,Spirits,Johnnie Walker,1000,60%,Resealed,Good,Slightly_Damaged,Acceptable,LX734,CDG,ZRH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
25,SPIR_1025,Singapore Airlines,SQ,Business,Johnnie Walker Spirits 750ml,Spirits,Johnnie Walker,750,70%,Opened,Poor,Intact,Excellent,SQ578,ZRH,IST,Refill if fill <90% using incoming bottles and reseal,Refill
26,CHAM_1026,British Airways,BA,First,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,70%,Sealed,Excellent,Heavily_Damaged,Excellent,BA427,DOH,LHR,Refill if fill between 60–80% and reseal,Refill
27,CHAM_1027,Lufthansa,LH,Business,Taittinger Champagne 750ml,Champagne,Taittinger,750,100%,Sealed,Poor,Intact,Acceptable,LH640,LHR,IST,Refill if fill <90% using incoming bottles and reseal,Keep
28,WINE_1028,Qatar Airways,QR,Business,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,75%,Sealed,Poor,Heavily_Damaged,Excellent,QR444,DXB,IST,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
29,SPIR_1029,British Airways,BA,Business,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,70%,Opened,Good,Intact,Acceptable,BA555,DOH,IST,Reuse if >70% fill and sealed,Keep
30,LIQU_1030,Cathay Pacific,CX,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,70%,Sealed,Fair,Intact,Acceptable,CX903,FRA,SIN,"If fill 100% but opened, add 1 additional sealed bottle",Keep
31,LIQU_1031,Lufthansa,LH,First,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,55%,Sealed,Fair,Slightly_Damaged,Acceptable,LH810,IST,DXB,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
32,CHAM_1032,Swiss Intl Air Lines,LX,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,70%,Resealed,Good,Heavily_Damaged,Acceptable,LX332,ZRH,HKG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
33,CHAM_1033,Lufthansa,LH,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,95%,Sealed,Poor,Slightly_Damaged,Acceptable,LH118,CDG,FRA,Reuse if >70% fill and sealed,Keep
34,CHAM_1034,British Airways,BA,Business,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,55%,Resealed,Poor,Slightly_Damaged,Excellent,BA874,IST,JFK,Replace if fill <80% or label damaged,Replace
35,CHAM_1035,British Airways,BA,Business,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,80%,Opened,Poor,Slightly_Damaged,Poor,BA686,FRA,ZRH,Refill if fill <90% using incoming bottles and reseal,Refill
36,WINE_1036,Turkish Airlines,TK,Business,Château Rivière Wine 750ml,Wine,Château Rivière,750,70%,Sealed,Good,Heavily_Damaged,Acceptable,TK414,SIN,FRA,"If fill 100% but opened, add 1 additional sealed bottle",Keep
37,SPIR_1037,Etihad Airways,EY,Business,Johnnie Walker Spirits 1000ml,Spirits,Johnnie Walker,1000,55%,Sealed,Poor,Intact,Acceptable,EY406,ZRH,ZRH,Replace if fill <80% or label damaged,Replace
38,LIQU_1038,Air France,AF,Business,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,95%,Opened,Poor,Intact,Acceptable,AF151,LHR,CDG,Discard all opened bottles,Discard
39,CHAM_1039,Etihad Airways,EY,First,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,60%,Sealed,Good,Heavily_Damaged,Acceptable,EY413,DXB,JFK,Refill if fill <90% using incoming bottles and reseal,Refill
40,CHAM_1040,Turkish Airlines,TK,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,50%,Opened,Good,Heavily_Damaged,Excellent,TK808,CDG,HKG,Keep if fill >85% and resealed,Keep
41,SPIR_1041,Turkish Airlines,TK,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,60%,Sealed,Good,Slightly_Damaged,Acceptable,TK612,DOH,IST,Discard all opened bottles,Discard
42,LIQU_1042,Etihad Airways,EY,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,85%,Sealed,Poor,Intact,Poor,EY366,LHR,FRA,Keep all sealed bottles unopened,Keep
43,CHAM_1043,Air France,AF,Business,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,85%,Opened,Fair,Slightly_Damaged,Poor,AF285,DOH,DOH,Discard all opened bottles,Discard
44,LIQU_1044,Etihad Airways,EY,First,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,75%,Resealed,Good,Intact,Acceptable,EY540,ZRH,DXB,Refill if fill between 60–80% and reseal,Refill
45,LIQU_1045,Singapore Airlines,SQ,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,70%,Sealed,Good,Heavily_Damaged,Excellent,SQ693,FRA,CDG,Reuse if >70% fill and sealed,Keep
46,SPIR_1046,Singapore Airlines,SQ,First,Tanqueray Spirits 1000ml,Spirits,Tanqueray,1000,75%,Resealed,Good,Slightly_Damaged,Poor,SQ689,IST,IST,Reuse if >70% fill and sealed,Keep
47,WINE_1047,British Airways,BA,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,60%,Opened,Fair,Slightly_Damaged,Acceptable,BA261,CDG,LHR,"If fill 100% but opened, add 1 additional sealed bottle",Keep
48,WINE_1048,British Airways,BA,First,Villa Maria Wine 1000ml,Wine,Villa Maria,1000,70%,Sealed,Fair,Heavily_Damaged,Acceptable,BA708,CDG,HKG,Replace if fill <80% or label damaged,Replace
49,CHAM_1049,Cathay Pacific,CX,First,Laurent-Perrier Champagne 750ml,Champagne,Laurent-Perrier,750,95%,Opened,Excellent,Slightly_Damaged,Poor,CX793,CDG,ZRH,Keep if fill >85% and resealed,Keep
50,WINE_1050,Singapore Airlines,SQ,First,Penfolds Wine 750ml,Wine,Penfolds,750,90%,Resealed,Fair,Heavily_Damaged,Excellent,SQ508,ZRH,HKG,Keep all sealed bottles unopened,Keep
51,CHAM_1051,Swiss Intl Air Lines,LX,Business,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,70%,Opened,Poor,Heavily_Damaged,Poor,LX131,CDG,FRA,"If fill 100% but opened, add 1 additional sealed bottle",Keep
52,WINE_1052,Emirates,EK,First,Cloudy Bay Wine 1000ml,Wine,Cloudy Bay,1000,65%,Resealed,Good,Heavily_Damaged,Poor,EK497,IST,JFK,Discard all opened bottles,Discard
53,LIQU_1053,Swiss Intl Air Lines,LX,Business,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,85%,Sealed,Fair,Heavily_Damaged,Poor,LX690,DXB,IST,Refill if fill between 60–80% and reseal,Refill
54,LIQU_1054,Swiss Intl Air Lines,LX,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,70%,Sealed,Fair,Intact,Poor,LX455,IST,IST,"If fill 100% but opened, add 1 additional sealed bottle",Keep
55,SPIR_1055,Singapore Airlines,SQ,First,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,70%,Opened,Fair,Heavily_Damaged,Acceptable,SQ314,CDG,SIN,Keep all sealed bottles unopened,Keep
56,CHAM_1056,Lufthansa,LH,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,65%,Sealed,Fair,Heavily_Damaged,Acceptable,LH780,ZRH,ZRH,Reuse if >70% fill and sealed,Keep
57,LIQU_1057,Etihad Airways,EY,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,70%,Opened,Fair,Heavily_Damaged,Excellent,EY268,LHR,DOH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
58,WINE_1058,British Airways,BA,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,100%,Opened,Good,Intact,Poor,BA248,SIN,FRA,Refill if fill between 60–80% and reseal,Keep
59,LIQU_1059,Swiss Intl Air Lines,LX,Business,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,60%,Sealed,Fair,Intact,Excellent,LX687,JFK,JFK,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
60,WINE_1060,Air France,AF,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,95%,Opened,Fair,Intact,Poor,AF123,SIN,HKG,Keep if fill >85% and resealed,Keep
61,LIQU_1061,Qatar Airways,QR,Business,Baileys Liqueur 750ml,Liqueur,Baileys,750,75%,Resealed,Excellent,Slightly_Damaged,Excellent,QR779,JFK,CDG,Reuse if >70% fill and sealed,Keep
62,LIQU_1062,Cathay Pacific,CX,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,70%,Opened,Good,Heavily_Damaged,Poor,CX454,DXB,JFK,"If fill 100% but opened, add 1 additional sealed bottle",Keep
63,WINE_1063,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,80%,Resealed,Fair,Intact,Excellent,SQ533,DXB,DOH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
64,CHAM_1064,Qatar Airways,QR,First,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,55%,Sealed,Poor,Slightly_Damaged,Excellent,QR112,JFK,JFK,Discard all opened bottles,Discard
65,LIQU_1065,Singapore Airlines,SQ,Business,Cointreau Liqueur 1000ml,Liqueur,Cointreau,1000,85%,Opened,Poor,Slightly_Damaged,Acceptable,SQ917,HKG,CDG,Keep if fill >85% and resealed,Keep
66,WINE_1066,British Airways,BA,Business,Robert Mondavi Wine 1000ml,Wine,Robert Mondavi,1000,90%,Opened,Excellent,Heavily_Damaged,Acceptable,BA550,FRA,CDG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
67,LIQU_1067,Turkish Airlines,TK,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,60%,Opened,Good,Slightly_Damaged,Poor,TK372,JFK,IST,Discard all opened bottles,Discard
68,SPIR_1068,Singapore Airlines,SQ,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,85%,Resealed,Good,Slightly_Damaged,Acceptable,SQ449,DXB,ZRH,Replace if fill <80% or label damaged,Replace
69,SPIR_1069,Cathay Pacific,CX,First,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,60%,Resealed,Good,Heavily_Damaged,Acceptable,CX159,IST,HKG,Reuse if >70% fill and sealed,Keep
70,SPIR_1070,Qatar Airways,QR,First,Absolut Spirits 1000ml,Spirits,Absolut,1000,50%,Opened,Poor,Slightly_Damaged,Poor,QR540,LHR,SIN,Replace if fill <80% or label damaged,Replace
71,CHAM_1071,Emirates,EK,First,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,85%,Resealed,Good,Intact,Excellent,EK694,LHR,FRA,Replace if fill <80% or label damaged,Keep
72,CHAM_1072,British Airways,BA,First,Taittinger Champagne 750ml,Champagne,Taittinger,750,65%,Opened,Excellent,Slightly_Damaged,Poor,BA687,FRA,HKG,Discard all opened bottles,Discard
73,WINE_1073,Turkish Airlines,TK,First,Robert Mondavi Wine 1000ml,Wine,Robert Mondavi,1000,75%,Resealed,Excellent,Heavily_Damaged,Acceptable,TK636,FRA,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
74,SPIR_1074,Emirates,EK,Business,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,75%,Resealed,Poor,Intact,Acceptable,EK430,HKG,DXB,Discard all opened bottles,Discard
75,CHAM_1075,Singapore Airlines,SQ,First,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,65%,Opened,Good,Intact,Excellent,SQ780,LHR,LHR,Discard all opened bottles,Discard
76,LIQU_1076,Emirates,EK,First,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,50%,Resealed,Fair,Slightly_Damaged,Poor,EK930,CDG,JFK,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
77,LIQU_1077,Cathay Pacific,CX,Business,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,95%,Resealed,Poor,Intact,Excellent,CX122,FRA,FRA,Reuse if >70% fill and sealed,Keep
78,SPIR_1078,Emirates,EK,Business,Absolut Spirits 750ml,Spirits,Absolut,750,95%,Sealed,Excellent,Heavily_Damaged,Excellent,EK976,IST,IST,Replace if fill <80% or label damaged,Replace
79,CHAM_1079,Lufthansa,LH,Business,Moët & Chandon Champagne 750ml,Champagne,Moët & Chandon,750,50%,Sealed,Excellent,Slightly_Damaged,Poor,LH989,SIN,LHR,Replace if fill <80% or label damaged,Replace
80,LIQU_1080,Cathay Pacific,CX,Business,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,80%,Sealed,Good,Heavily_Damaged,Acceptable,CX997,DOH,DOH,"If fill 100% but opened, add 1 additional sealed bottle",Keep
81,LIQU_1081,Etihad Airways,EY,Business,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,55%,Sealed,Poor,Heavily_Damaged,Excellent,EY645,SIN,IST,Refill if fill <90% using incoming bottles and reseal,Refill
82,SPIR_1082,Etihad Airways,EY,First,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,90%,Opened,Fair,Intact,Excellent,EY144,FRA,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
83,WINE_1083,Singapore Airlines,SQ,Business,Cloudy Bay Wine 750ml,Wine,Cloudy Bay,750,55%,Sealed,Good,Slightly_Damaged,Excellent,SQ883,IST,FRA,Reuse if >70% fill and sealed,Keep
84,WINE_1084,British Airways,BA,First,Château Rivière Wine 750ml,Wine,Château Rivière,750,75%,Opened,Excellent,Slightly_Damaged,Excellent,BA211,JFK,ZRH,Keep if fill >85% and resealed,Keep
85,LIQU_1085,Cathay Pacific,CX,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,55%,Resealed,Excellent,Heavily_Damaged,Excellent,CX100,LHR,ZRH,Keep all sealed bottles unopened,Keep
86,WINE_1086,Etihad Airways,EY,First,Cloudy Bay Wine 1000ml,Wine,Cloudy Bay,1000,80%,Resealed,Excellent,Heavily_Damaged,Acceptable,EY962,DOH,SIN,Keep all sealed bottles unopened,Keep
87,SPIR_1087,British Airways,BA,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,75%,Resealed,Good,Slightly_Damaged,Excellent,BA839,SIN,DXB,Discard all opened bottles,Discard
88,CHAM_1088,Air France,AF,Business,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,85%,Resealed,Poor,Intact,Acceptable,AF974,HKG,CDG,Reuse if >70% fill and sealed,Keep
89,CHAM_1089,Singapore Airlines,SQ,First,Laurent-Perrier Champagne 750ml,Champagne,Laurent-Perrier,750,55%,Resealed,Fair,Intact,Acceptable,SQ923,JFK,SIN,Refill if fill between 60–80% and reseal,Refill
90,WINE_1090,Air France,AF,First,Château Legrand Wine 1000ml,Wine,Château Legrand,1000,80%,Resealed,Fair,Slightly_Damaged,Poor,AF108,SIN,HKG,Refill if fill between 60–80% and reseal,Refill
91,SPIR_1091,Cathay Pacific,CX,Business,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,75%,Opened,Excellent,Slightly_Damaged,Excellent,CX588,IST,DXB,Keep if fill >85% and resealed,Keep
92,LIQU_1092,Cathay Pacific,CX,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,85%,Opened,Excellent,Intact,Acceptable,CX841,FRA,JFK,Refill if fill <90% using incoming bottles and reseal,Refill
93,WINE_1093,Lufthansa,LH,First,Penfolds Wine 1000ml,Wine,Penfolds,1000,65%,Opened,Excellent,Slightly_Damaged,Excellent,LH241,LHR,JFK,"If fill 100% but opened, add 1 additional sealed bottle",Keep
94,CHAM_1094,Cathay Pacific,CX,First,Laurent-Perrier Champagne 750ml,Champagne,Laurent-Perrier,750,60%,Resealed,Excellent,Heavily_Damaged,Excellent,CX556,SIN,IST,Reuse if >70% fill and sealed,Keep
95,LIQU_1095,British Airways,BA,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,100%,Opened,Fair,Intact,Excellent,BA212,FRA,ZRH,Reuse if >70% fill and sealed,Keep
96,LIQU_1096,Swiss Intl Air Lines,LX,Business,Disaronno Liqueur 750ml,Liqueur,Disaronno,750,50%,Opened,Fair,Intact,Acceptable,LX521,FRA,ZRH,Replace if fill <80% or label damaged,Replace
97,CHAM_1097,Etihad Airways,EY,First,Piper-Heidsieck Champagne 750ml,Champagne,Piper-Heidsieck,750,70%,Opened,Good,Heavily_Damaged,Excellent,EY627,DOH,LHR,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
98,CHAM_1098,Swiss Intl Air Lines,LX,First,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,85%,Sealed,Good,Slightly_Damaged,Acceptable,LX302,SIN,CDG,Keep all sealed bottles unopened,Keep
