Record_ID,Bottle_ID,Customer_Name,Customer_Code,Service_Class,Product_Name,Category,Brand,Bottle_Size,Fill_Level,Seal_Status,Cleanliness_Score,Label_Status,Bottle_Condition,Inbound_Flight,Origin,Destination,SLA_Reuse_Policy,Recommended_Action
99,CHAM_1099,Air France,AF,First,Veuve Clicquot Champagne 750ml,Champagne,Veuve Clicquot,750,100%,Resealed,Good,Heavily_Damaged,Poor,AF177,SIN,CDG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
100,SPIR_1100,Lufthansa,LH,Business,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,80%,Sealed,Poor,Heavily_Damaged,Excellent,LH740,ZRH,DXB,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
101,CHAM_1101,Air France,AF,Business,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,50%,Resealed,Fair,Heavily_Damaged,Poor,AF245,LHR,HKG,Refill if fill <90% using incoming bottles and reseal,Refill
102,SPIR_1102,British Airways,BA,Business,Absolut Spirits 750ml,Spirits,Absolut,750,55%,Sealed,Fair,Intact,Poor,BA662,FRA,LHR,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
103,LIQU_1103,Cathay Pacific,CX,First,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,55%,Opened,Fair,Heavily_Damaged,Excellent,CX815,DOH,IST,Replace if fill <80% or label damaged,Replace
104,WINE_1104,Etihad Airways,EY,First,Château Legrand Wine 1000ml,Wine,Château Legrand,1000,75%,Resealed,Poor,Heavily_Damaged,Poor,EY838,ZRH,IST,Discard all opened bottles,Discard
105,CHAM_1105,Etihad Airways,EY,Business,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,60%,Sealed,Excellent,Intact,Acceptable,EY173,ZRH,DOH,Reuse if >70% fill and sealed,Keep
106,SPIR_1106,Etihad Airways,EY,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,50%,Opened,Fair,Slightly_Damaged,Acceptable,EY134,DOH,IST,Keep if fill >85% and resealed,Keep
107,CHAM_1107,Lufthansa,LH,Business,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,60%,Sealed,Excellent,Intact,Excellent,LH393,IST,DXB,Keep if fill >85% and resealed,Keep
108,SPIR_1108,Lufthansa,LH,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,65%,Resealed,Excellent,Slightly_Damaged,Excellent,LH274,DXB,IST,Reuse if >70% fill and sealed,Keep
109,LIQU_1109,Turkish Airlines,TK,First,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,95%,Opened,Good,Heavily_Damaged,Poor,TK492,SIN,IST,Reuse if >70% fill and sealed,Keep
110,LIQU_1110,Etihad Airways,EY,Business,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,85%,Opened,Fair,Intact,Excellent,EY286,CDG,DOH,Keep if fill >85% and resealed,Keep
111,LIQU_1111,Qatar Airways,QR,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,90%,Sealed,Fair,Slightly_Damaged,Excellent,QR241,JFK,IST,Keep all sealed bottles unopened,Keep
112,WINE_1112,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,75%,Opened,Excellent,Intact,Acceptable,SQ435,DXB,DXB,Replace if fill <80% or label damaged,Replace
113,LIQU_1113,Emirates,EK,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,85%,Opened,Poor,Slightly_Damaged,Poor,EK373,CDG,DXB,Keep all sealed bottles unopened,Keep
114,SPIR_1114,Air France,AF,Business,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,60%,Sealed,Fair,Intact,Excellent,AF681,DOH,CDG,Reuse if >70% fill and sealed,Keep
115,WINE_1115,Cathay Pacific,CX,Business,Château Legrand Wine 750ml,Wine,Château Legrand,750,65%,Resealed,Fair,Slightly_Damaged,Excellent,CX455,CDG,SIN,Keep if fill >85% and resealed,Keep
116,SPIR_1116,Cathay Pacific,CX,First,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,95%,Sealed,Poor,Heavily_Damaged,Excellent,CX209,DXB,CDG,Refill if fill <90% using incoming bottles and reseal,Keep
117,LIQU_1117,Air France,AF,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,50%,Resealed,Poor,Slightly_Damaged,Acceptable,AF447,FRA,DXB,Keep if fill >85% and resealed,Keep
118,SPIR_1118,Swiss Intl Air Lines,LX,First,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,90%,Sealed,Poor,Slightly_Damaged,Excellent,LX460,SIN,SIN,Keep if fill >85% and resealed,Keep
119,SPIR_1119,Cathay Pacific,CX,First,Tanqueray Spirits 1000ml,Spirits,Tanqueray,1000,70%,Resealed,Excellent,Intact,Poor,CX760,DOH,DOH,Keep all sealed bottles unopened,Keep
120,LIQU_1120,Turkish Airlines,TK,Business,Baileys Liqueur 750ml,Liqueur,Baileys,750,50%,Opened,Good,Slightly_Damaged,Acceptable,TK220,HKG,FRA,Keep all sealed bottles unopened,Keep
121,WINE_1121,Cathay Pacific,CX,Business,Penfolds Wine 1000ml,Wine,Penfolds,1000,50%,Sealed,Good,Slightly_Damaged,Poor,CX140,ZRH,DXB,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
122,LIQU_1122,Turkish Airlines,TK,First,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,90%,Resealed,Excellent,Heavily_Damaged,Excellent,TK201,JFK,DOH,Keep if fill >85% and resealed,Keep
123,CHAM_1123,Emirates,EK,First,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,80%,Opened,Excellent,Heavily_Damaged,Acceptable,EK901,SIN,HKG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
124,CHAM_1124,Air France,AF,Business,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,55%,Opened,Excellent,Slightly_Damaged,Excellent,AF766,DXB,DOH,Replace if fill <80% or label damaged,Replace
125,WINE_1125,Lufthansa,LH,First,Villa Maria Wine 750ml,Wine,Villa Maria,750,60%,Sealed,Poor,Slightly_Damaged,Acceptable,LH957,HKG,DOH,"If fill 100% but opened, add 1 additional sealed bottle",Keep
126,CHAM_1126,Turkish Airlines,TK,Business,Taittinger Champagne 750ml,Champagne,Taittinger,750,55%,Resealed,Fair,Intact,Excellent,TK874,IST,SIN,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
127,LIQU_1127,Qatar Airways,QR,First,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,55%,Resealed,Excellent,Slightly_Damaged,Poor,QR863,DXB,CDG,Discard all opened bottles,Discard
128,WINE_1128,Lufthansa,LH,Business,Château Legrand Wine 1000ml,Wine,Château Legrand,1000,60%,Sealed,Fair,Intact,Acceptable,LH777,IST,DOH,Refill if fill <90% using incoming bottles and reseal,Refill
129,SPIR_1129,Emirates,EK,First,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,95%,Sealed,Excellent,Heavily_Damaged,Poor,EK996,SIN,FRA,"If fill 100% but opened, add 1 additional sealed bottle",Keep
130,LIQU_1130,Turkish Airlines,TK,First,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,85%,Resealed,Fair,Intact,Poor,TK318,HKG,JFK,Replace if fill <80% or label damaged,Keep
131,WINE_1131,Turkish Airlines,TK,First,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,85%,Resealed,Good,Heavily_Damaged,Acceptable,TK821,HKG,DOH,Refill if fill <90% using incoming bottles and reseal,Refill
132,LIQU_1132,Air France,AF,Business,Grand Marnier Liqueur 1000ml,Liqueur,Grand Marnier,1000,85%,Opened,Excellent,Heavily_Damaged,Poor,AF327,DOH,ZRH,Keep if fill >85% and resealed,Keep
133,LIQU_1133,Air France,AF,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,75%,Resealed,Excellent,Intact,Acceptable,AF100,CDG,FRA,Replace if fill <80% or label damaged,Replace
134,SPIR_1134,British Airways,BA,First,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,60%,Opened,Poor,Intact,Acceptable,BA856,HKG,JFK,Keep if fill >85% and resealed,Keep
135,WINE_1135,Etihad Airways,EY,Business,Château Rivière Wine 750ml,Wine,Château Rivière,750,90%,Resealed,Excellent,Heavily_Damaged,Acceptable,EY561,CDG,IST,Replace if fill <80% or label damaged,Replace
136,LIQU_1136,Swiss Intl Air Lines,LX,Business,Baileys Liqueur 750ml,Liqueur,Baileys,750,75%,Opened,Excellent,Heavily_Damaged,Excellent,LX927,DOH,FRA,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
137,LIQU_1137,Singapore Airlines,SQ,First,Kahlúa Liqueur 1000ml,Liqueur,Kahlúa,1000,50%,Resealed,Excellent,Heavily_Damaged,Acceptable,SQ155,DOH,LHR,Keep if fill >85% and resealed,Keep
138,SPIR_1138,Turkish Airlines,TK,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,100%,Sealed,Poor,Slightly_Damaged,Acceptable,TK507,IST,JFK,Refill if fill <90% using incoming bottles and reseal,Keep
139,WINE_1139,Qatar Airways,QR,First,Cloudy Bay Wine 750ml,Wine,Cloudy Bay,750,50%,Opened,Good,Heavily_Damaged,Acceptable,QR175,CDG,FRA,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
140,WINE_1140,Singapore Airlines,SQ,First,Château Rivière Wine 750ml,Wine,Château Rivière,750,75%,Resealed,Fair,Slightly_Damaged,Acceptable,SQ788,ZRH,ZRH,Discard all opened bottles,Discard
141,CHAM_1141,British Airways,BA,First,Veuve Clicquot Champagne 750ml,Champagne,Veuve Clicquot,750,85%,Resealed,Good,Slightly_Damaged,Acceptable,BA894,HKG,HKG,Refill if fill between 60–80% and reseal,Refill
142,CHAM_1142,Swiss Intl Air Lines,LX,Business,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,60%,Resealed,Fair,Slightly_Damaged,Acceptable,LX319,DXB,IST,"If fill 100% but opened, add 1 additional sealed bottle",Keep
143,CHAM_1143,Air France,AF,Business,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,70%,Resealed,Excellent,Intact,Excellent,AF279,ZRH,ZRH,Keep if fill >85% and resealed,Keep
144,LIQU_1144,Turkish Airlines,TK,Business,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,85%,Resealed,Excellent,Heavily_Damaged,Acceptable,TK119,HKG,ZRH,"If fill 100% but opened, add 1 additional sealed bottle",Keep
145,WINE_1145,Etihad Airways,EY,First,Penfolds Wine 1000ml,Wine,Penfolds,1000,90%,Sealed,Fair,Slightly_Damaged,Acceptable,EY401,ZRH,DXB,Keep if fill >85% and resealed,Keep
146,CHAM_1146,Air France,AF,First,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,85%,Sealed,Good,Heavily_Damaged,Acceptable,AF533,SIN,JFK,Keep all sealed bottles unopened,Keep
147,WINE_1147,Cathay Pacific,CX,First,Penfolds Wine 1000ml,Wine,Penfolds,1000,85%,Resealed,Fair,Intact,Excellent,CX450,HKG,LHR,"If fill 100% but opened, add 1 additional sealed bottle",Keep
148,CHAM_1148,Swiss Intl Air Lines,LX,Business,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,70%,Resealed,Fair,Intact,Acceptable,LX521,DXB,IST,Discard all opened bottles,Discard
149,CHAM_1149,Emirates,EK,First,Veuve Clicquot Champagne 750ml,Champagne,Veuve Clicquot,750,90%,Opened,Good,Intact,Excellent,EK828,CDG,CDG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
150,LIQU_1150,British Airways,BA,Business,Baileys Liqueur 750ml,Liqueur,Baileys,750,50%,Sealed,Poor,Slightly_Damaged,Poor,BA712,DOH,DOH,Keep all sealed bottles unopened,Keep
151,LIQU_1151,Turkish Airlines,TK,Business,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,80%,Opened,Excellent,Slightly_Damaged,Acceptable,TK331,JFK,HKG,Replace if fill <80% or label damaged,Replace
152,CHAM_1152,Emirates,EK,First,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,75%,Sealed,Good,Heavily_Damaged,Acceptable,EK695,DOH,FRA,Discard all opened bottles,Discard
153,WINE_1153,Lufthansa,LH,First,Penfolds Wine 1000ml,Wine,Penfolds,1000,75%,Resealed,Good,Heavily_Damaged,Poor,LH402,ZRH,CDG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
154,SPIR_1154,Turkish Airlines,TK,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,85%,Resealed,Good,Slightly_Damaged,Acceptable,TK195,JFK,DXB,Keep if fill >85% and resealed,Keep
155,CHAM_1155,Singapore Airlines,SQ,Business,Piper-Heidsieck Champagne 1000ml,Champagne,Piper-Heidsieck,1000,50%,Sealed,Good,Intact,Excellent,SQ762,JFK,SIN,Refill if fill between 60–80% and reseal,Refill
156,SPIR_1156,Cathay Pacific,CX,First,Bombay Sapphire Spirits 1000ml,Spirits,Bombay Sapphire,1000,50%,Sealed,Poor,Intact,Poor,CX312,ZRH,ZRH,Discard all opened bottles,Discard
157,WINE_1157,Lufthansa,LH,First,Cloudy Bay Wine 1000ml,Wine,Cloudy Bay,1000,95%,Sealed,Fair,Intact,Excellent,LH300,ZRH,DXB,Keep if fill >85% and resealed,Keep
158,WINE_1158,Air France,AF,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,60%,Sealed,Good,Slightly_Damaged,Excellent,AF392,DXB,IST,Discard all opened bottles,Discard
159,WINE_1159,Etihad Airways,EY,First,Penfolds Wine 750ml,Wine,Penfolds,750,70%,Sealed,Good,Slightly_Damaged,Excellent,EY751,LHR,ZRH,Reuse if >70% fill and sealed,Keep
160,LIQU_1160,Etihad Airways,EY,First,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,90%,Opened,Poor,Intact,Excellent,EY292,FRA,HKG,Refill if fill <90% using incoming bottles and reseal,Keep
161,CHAM_1161,Qatar Airways,QR,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,60%,Sealed,Fair,Heavily_Damaged,Poor,QR253,FRA,IST,Keep all sealed bottles unopened,Keep
162,SPIR_1162,Etihad Airways,EY,Business,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,85%,Resealed,Fair,Slightly_Damaged,Poor,EY183,IST,CDG,Keep if fill >85% and resealed,Keep
163,LIQU_1163,Lufthansa,LH,Business,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,80%,Opened,Excellent,Intact,Acceptable,LH122,JFK,JFK,Replace if fill <80% or label damaged,Keep
164,SPIR_1164,Cathay Pacific,CX,Business,Johnnie Walker Spirits 750ml,Spirits,Johnnie Walker,750,95%,Resealed,Fair,Intact,Poor,CX241,ZRH,SIN,Keep all sealed bottles unopened,Keep
165,SPIR_1165,Emirates,EK,Business,Absolut Spirits 750ml,Spirits,Absolut,750,90%,Opened,Excellent,Slightly_Damaged,Acceptable,EK880,ZRH,JFK,Refill if fill <90% using incoming bottles and reseal,Keep
166,SPIR_1166,Swiss Intl Air Lines,LX,Business,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,75%,Sealed,Fair,Slightly_Damaged,Excellent,LX867,IST,JFK,"If fill 100% but opened, add 1 additional sealed bottle",Keep
167,SPIR_1167,British Airways,BA,Business,Tanqueray Spirits 1000ml,Spirits,Tanqueray,1000,70%,Sealed,Poor,Intact,Excellent,BA627,ZRH,LHR,Reuse if >70% fill and sealed,Keep
168,CHAM_1168,Swiss Intl Air Lines,LX,First,Moët & Chandon Champagne 1000ml,Champagne,Moët & Chandon,1000,80%,Resealed,Poor,Intact,Acceptable,LX995,JFK,SIN,Keep if fill >85% and resealed,Keep
169,LIQU_1169,Emirates,EK,First,Kahlúa Liqueur 750ml,Liqueur,Kahlúa,750,65%,Opened,Poor,Slightly_Damaged,Poor,EK399,FRA,CDG,Keep all sealed bottles unopened,Keep
170,LIQU_1170,Turkish Airlines,TK,Business,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,100%,Opened,Good,Heavily_Damaged,Acceptable,TK275,HKG,SIN,Replace if fill <80% or label damaged,Replace
171,SPIR_1171,Qatar Airways,QR,First,Absolut Spirits 750ml,Spirits,Absolut,750,60%,Resealed,Fair,Slightly_Damaged,Excellent,QR961,FRA,HKG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
172,SPIR_1172,Air France,AF,First,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,85%,Opened,Poor,Slightly_Damaged,Poor,AF307,DOH,SIN,Refill if fill between 60–80% and reseal,Refill
173,WINE_1173,Lufthansa,LH,Business,Château Rivière Wine 1000ml,Wine,Château Rivière,1000,65%,Sealed,Fair,Slightly_Damaged,Poor,LH439,CDG,JFK,Refill if fill between 60–80% and reseal,Refill
174,WINE_1174,Swiss Intl Air Lines,LX,Business,Penfolds Wine 750ml,Wine,Penfolds,750,95%,Sealed,Poor,Intact,Acceptable,LX714,FRA,CDG,Replace if fill <80% or label damaged,Keep
175,CHAM_1175,Air France,AF,Business,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,60%,Opened,Poor,Intact,Acceptable,AF302,SIN,DXB,Refill if fill between 60–80% and reseal,Refill
176,SPIR_1176,Etihad Airways,EY,First,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,85%,Resealed,Good,Slightly_Damaged,Acceptable,EY353,HKG,DXB,Discard all opened bottles,Discard
177,LIQU_1177,Cathay Pacific,CX,First,Disaronno Liqueur 1000ml,Liqueur,Disaronno,1000,100%,Sealed,Excellent,Intact,Excellent,CX981,DXB,HKG,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
178,WINE_1178,Swiss Intl Air Lines,LX,Business,Penfolds Wine 750ml,Wine,Penfolds,750,100%,Resealed,Poor,Heavily_Damaged,Poor,LX285,DXB,FRA,Reuse if >70% fill and sealed,Keep
179,SPIR_1179,Swiss Intl Air Lines,LX,First,Glenlivet Spirits 1000ml,Spirits,Glenlivet,1000,65%,Resealed,Poor,Slightly_Damaged,Acceptable,LX173,JFK,DOH,Replace if fill <80% or label damaged,Replace
180,SPIR_1180,Cathay Pacific,CX,Business,Bombay Sapphire Spirits 750ml,Spirits,Bombay Sapphire,750,95%,Sealed,Fair,Intact,Acceptable,CX652,ZRH,IST,Keep if fill >85% and resealed,Keep
181,LIQU_1181,Etihad Airways,EY,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,90%,Opened,Poor,Intact,Poor,EY971,SIN,HKG,Keep if fill >85% and resealed,Keep
182,CHAM_1182,Etihad Airways,EY,First,Veuve Clicquot Champagne 1000ml,Champagne,Veuve Clicquot,1000,100%,Sealed,Good,Heavily_Damaged,Acceptable,EY506,DXB,ZRH,Reuse if >70% fill and sealed,Keep
183,LIQU_1183,Turkish Airlines,TK,Business,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,85%,Resealed,Poor,Slightly_Damaged,Excellent,TK446,JFK,SIN,Keep if fill >85% and resealed,Keep
184,SPIR_1184,Singapore Airlines,SQ,Business,Tanqueray Spirits 750ml,Spirits,Tanqueray,750,85%,Sealed,Poor,Slightly_Damaged,Excellent,SQ232,DXB,JFK,Replace if fill <80% or label damaged,Replace
185,WINE_1185,British Airways,BA,Business,Château Rivière Wine 750ml,Wine,Château Rivière,750,80%,Sealed,Poor,Heavily_Damaged,Acceptable,BA581,ZRH,DOH,Replace if fill <80% or label damaged,Replace
186,LIQU_1186,Singapore Airlines,SQ,Business,Grand Marnier Liqueur 750ml,Liqueur,Grand Marnier,750,80%,Resealed,Good,Slightly_Damaged,Excellent,SQ928,SIN,ZRH,Replace if fill <80% or label damaged,Replace
187,LIQU_1187,Qatar Airways,QR,Business,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,70%,Opened,Excellent,Heavily_Damaged,Excellent,QR329,ZRH,DXB,"If fill 100% but opened, add 1 additional sealed bottle",Keep
188,WINE_1188,Swiss Intl Air Lines,LX,First,Château Legrand Wine 750ml,Wine,Château Legrand,750,80%,Resealed,Poor,Heavily_Damaged,Acceptable,LX195,SIN,DXB,Refill if fill <90% using incoming bottles and reseal,Refill
189,WINE_1189,Air France,AF,Business,Robert Mondavi Wine 750ml,Wine,Robert Mondavi,750,75%,Opened,Excellent,Intact,Excellent,AF722,LHR,JFK,"If fill 100% but opened, add 1 additional sealed bottle",Keep
190,SPIR_1190,Etihad Airways,EY,First,Glenlivet Spirits 750ml,Spirits,Glenlivet,750,65%,Resealed,Fair,Heavily_Damaged,Poor,EY673,DXB,JFK,Keep if fill >85% and resealed,Keep
191,LIQU_1191,Etihad Airways,EY,First,Baileys Liqueur 750ml,Liqueur,Baileys,750,100%,Resealed,Good,Intact,Excellent,EY784,ZRH,SIN,Refill if fill between 60–80% and reseal,Keep
192,WINE_1192,Swiss Intl Air Lines,LX,First,Penfolds Wine 750ml,Wine,Penfolds,750,65%,Sealed,Fair,Slightly_Damaged,Acceptable,LX488,SIN,HKG,Keep if fill >85% and resealed,Keep
193,CHAM_1193,British Airways,BA,Business,Laurent-Perrier Champagne 1000ml,Champagne,Laurent-Perrier,1000,95%,Resealed,Good,Heavily_Damaged,Excellent,BA389,LHR,LHR,Refill if fill between 60–80% and reseal,Keep
194,LIQU_1194,Etihad Airways,EY,Business,Baileys Liqueur 1000ml,Liqueur,Baileys,1000,60%,Resealed,Poor,Slightly_Damaged,Poor,EY385,DOH,CDG,Replace if fill <80% or label damaged,Replace
195,CHAM_1195,Etihad Airways,EY,Business,Taittinger Champagne 1000ml,Champagne,Taittinger,1000,70%,Sealed,Excellent,Heavily_Damaged,Excellent,EY308,DOH,ZRH,Refill if fill <90% using incoming bottles and reseal,Refill
196,WINE_1196,Cathay Pacific,CX,Business,Château Rivière Wine 1000ml,Wine,Château Rivière,1000,95%,Opened,Good,Slightly_Damaged,Acceptable,CX828,JFK,CDG,Discard all opened bottles,Discard
197,WINE_1197,Singapore Airlines,SQ,Business,Villa Maria Wine 750ml,Wine,Villa Maria,750,60%,Opened,Good,Slightly_Damaged,Acceptable,SQ249,FRA,ZRH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
198,WINE_1198,Lufthansa,LH,First,Penfolds Wine 1000ml,Wine,Penfolds,1000,60%,Opened,Excellent,Intact,Poor,LH173,SIN,DXB,Refill if fill <90% using incoming bottles and reseal,Refill
199,CHAM_1199,British Airways,BA,First,Taittinger Champagne 750ml,Champagne,Taittinger,750,75%,Resealed,Poor,Intact,Poor,BA545,CDG,ZRH,"If fill between 60–80%, add 1 additional sealed bottle for next flight",Keep
200,LIQU_1200,Cathay Pacific,CX,First,Cointreau Liqueur 750ml,Liqueur,Cointreau,750,75%,Opened,Poor,Heavily_Damaged,Poor,CX132,ZRH,HKG,"If fill 100% but opened, add 1 additional sealed bottle",Keep
