Record_ID,Employee_ID,Flight_Number,Spec_ID,Start_Time,End_Time,Duration_Seconds,Accuracy_Score,Items_Packed,Rework_Flag,Supervisor_Notes
PKG001,EMP004,LX721,SPEC_C01,2025-10-13 07:36:52,2025-10-13 07:37:35,43,Pass,11,No,
PKG002,EMP018,LX726,SPEC_D01,2025-10-13 06:38:40,2025-10-13 06:38:58,18,Rework Required,14,Yes,Layout confusion
PKG003,EMP008,LX755,SPEC_A01,2025-10-13 09:03:15,2025-10-13 09:03:55,40,Minor Error,15,No,
PKG004,EMP008,LX750,SPEC_C01,2025-10-13 06:31:46,2025-10-13 06:32:21,35,Pass,13,No,
PKG005,EMP011,LX735,SPEC_B01,2025-10-13 07:28:47,2025-10-13 07:29:45,58,Pass,15,No,
PKG006,EMP013,LX726,SPEC_C02,2025-10-13 08:03:55,2025-10-13 08:04:43,48,Pass,11,No,
PKG007,EMP018,LX726,SPEC_D01,2025-10-13 06:51:31,2025-10-13 06:52:56,85,Pass,15,No,Improved speed
PKG008,EMP012,LX760,SPEC_B02,2025-10-13 06:48:59,2025-10-13 06:49:19,20,Minor Error,17,No,Missing one snack item
PKG009,EMP010,LX726,SPEC_B02,2025-10-13 06:57:34,2025-10-13 06:58:37,63,Pass,16,No,
PKG010,EMP012,LX730,SPEC_C02,2025-10-13 08:07:00,2025-10-13 08:07:41,41,Pass,13,No,
PKG011,EMP003,LX760,SPEC_B01,2025-10-13 08:55:51,2025-10-13 08:56:37,46,Pass,15,No,
PKG012,EMP013,LX735,SPEC_D03,2025-10-13 07:29:58,2025-10-13 07:30:54,56,Rework Required,15,Yes,Layout confusion
PKG013,EMP002,LX740,SPEC_D01,2025-10-13 07:43:06,2025-10-13 07:43:29,23,Minor Error,14,No,Layout unclear
PKG014,EMP007,LX750,SPEC_D01,2025-10-13 09:25:32,2025-10-13 09:26:45,73,Pass,14,No,
PKG015,EMP005,LX733,SPEC_D03,2025-10-13 08:57:10,2025-10-13 08:57:58,48,Pass,16,No,Improved speed
PKG016,EMP013,LX740,SPEC_B02,2025-10-13 07:07:46,2025-10-13 07:09:06,80,Pass,16,No,
PKG017,EMP002,LX726,SPEC_B01,2025-10-13 09:21:20,2025-10-13 09:21:55,35,Pass,17,No,
PKG018,EMP020,LX726,SPEC_D01,2025-10-13 08:14:12,2025-10-13 08:15:26,74,Pass,16,No,
PKG019,EMP018,LX721,SPEC_A02,2025-10-13 08:56:37,2025-10-13 08:57:26,49,Pass,14,No,
PKG020,EMP004,LX735,SPEC_D01,2025-10-13 07:13:11,2025-10-13 07:14:24,73,Pass,14,No,
PKG021,EMP017,LX730,SPEC_D03,2025-10-13 06:59:03,2025-10-13 06:59:56,53,Pass,15,No,
PKG022,EMP012,LX730,SPEC_D03,2025-10-13 08:54:49,2025-10-13 08:55:04,15,Pass,16,No,
PKG023,EMP001,LX726,SPEC_C02,2025-10-13 07:53:58,2025-10-13 07:54:43,45,Pass,11,No,
PKG024,EMP019,LX726,SPEC_A02,2025-10-13 08:42:42,2025-10-13 08:43:05,23,Pass,14,No,
PKG025,EMP005,LX750,SPEC_D03,2025-10-13 07:15:05,2025-10-13 07:15:53,48,Pass,16,No,
PKG026,EMP018,LX733,SPEC_C01,2025-10-13 08:18:57,2025-10-13 08:19:59,62,Minor Error,12,No,
PKG027,EMP004,LX733,SPEC_B02,2025-10-13 06:47:29,2025-10-13 06:48:27,58,Pass,15,No,Improved speed
PKG028,EMP018,LX733,SPEC_B02,2025-10-13 06:31:57,2025-10-13 06:32:21,24,Pass,17,No,
PKG029,EMP008,LX726,SPEC_A01,2025-10-13 08:00:13,2025-10-13 08:00:37,24,Pass,15,No,
PKG030,EMP009,LX750,SPEC_B02,2025-10-13 08:57:14,2025-10-13 08:57:45,31,Pass,17,No,Improved speed
PKG031,EMP019,LX750,SPEC_B02,2025-10-13 08:39:09,2025-10-13 08:40:16,67,Pass,15,No,
PKG032,EMP004,LX745,SPEC_C02,2025-10-13 08:25:39,2025-10-13 08:26:46,67,Pass,12,No,
PKG033,EMP004,LX721,SPEC_D01,2025-10-13 08:02:39,2025-10-13 08:03:07,28,Pass,14,No,
PKG034,EMP007,LX755,SPEC_D02,2025-10-13 07:08:16,2025-10-13 07:09:25,69,Rework Required,14,Yes,Training required
PKG035,EMP015,LX733,SPEC_A02,2025-10-13 08:31:00,2025-10-13 08:32:25,85,Rework Required,12,Yes,Layout confusion
PKG036,EMP018,LX721,SPEC_A02,2025-10-13 07:34:32,2025-10-13 07:35:08,36,Minor Error,13,No,
PKG037,EMP016,LX733,SPEC_D01,2025-10-13 06:46:00,2025-10-13 06:46:36,36,Pass,15,No,
PKG038,EMP013,LX735,SPEC_D02,2025-10-13 07:47:53,2025-10-13 07:49:02,69,Pass,16,No,Improved speed
PKG039,EMP016,LX730,SPEC_B02,2025-10-13 07:51:01,2025-10-13 07:51:43,42,Pass,15,No,Improved speed
PKG040,EMP018,LX721,SPEC_C02,2025-10-13 06:45:36,2025-10-13 06:45:57,21,Pass,13,No,
PKG041,EMP017,LX755,SPEC_B01,2025-10-13 06:45:31,2025-10-13 06:46:51,80,Pass,15,No,
PKG042,EMP003,LX760,SPEC_A02,2025-10-13 07:34:13,2025-10-13 07:35:19,66,Pass,12,No,Improved speed
PKG043,EMP008,LX760,SPEC_A01,2025-10-13 09:19:07,2025-10-13 09:19:32,25,Pass,14,No,Improved speed
PKG044,EMP019,LX755,SPEC_C02,2025-10-13 07:41:12,2025-10-13 07:41:53,41,Rework Required,13,Yes,Slow due to product shortage
PKG045,EMP011,LX733,SPEC_C01,2025-10-13 08:18:04,2025-10-13 08:18:35,31,Pass,13,No,
PKG046,EMP015,LX740,SPEC_A02,2025-10-13 06:32:32,2025-10-13 06:33:45,73,Pass,14,No,Improved speed
PKG047,EMP004,LX726,SPEC_D03,2025-10-13 07:28:12,2025-10-13 07:29:31,79,Pass,16,No,
PKG048,EMP012,LX726,SPEC_B02,2025-10-13 08:10:54,2025-10-13 08:11:45,51,Pass,15,No,
PKG049,EMP018,LX735,SPEC_D03,2025-10-13 06:32:08,2025-10-13 06:33:33,85,Pass,16,No,
PKG050,EMP005,LX735,SPEC_A02,2025-10-13 06:59:13,2025-10-13 07:00:38,85,Pass,12,No,
PKG051,EMP010,LX760,SPEC_B02,2025-10-13 08:03:37,2025-10-13 08:04:18,41,Rework Required,17,Yes,Slow due to product shortage
PKG052,EMP009,LX755,SPEC_D02,2025-10-13 07:38:34,2025-10-13 07:38:55,21,Minor Error,14,No,
PKG053,EMP009,LX721,SPEC_A01,2025-10-13 08:01:04,2025-10-13 08:01:35,31,Rework Required,15,Yes,Training required
PKG054,EMP006,LX750,SPEC_D03,2025-10-13 08:26:47,2025-10-13 08:28:13,86,Minor Error,15,No,Item swapped position
PKG055,EMP003,LX730,SPEC_D03,2025-10-13 06:39:50,2025-10-13 06:40:52,62,Pass,15,No,
PKG056,EMP005,LX721,SPEC_C01,2025-10-13 08:09:34,2025-10-13 08:09:54,20,Rework Required,12,Yes,Layout confusion
PKG057,EMP008,LX726,SPEC_C02,2025-10-13 09:02:53,2025-10-13 09:04:00,67,Pass,13,No,
PKG058,EMP008,LX730,SPEC_B01,2025-10-13 08:22:35,2025-10-13 08:22:53,18,Pass,15,No,
PKG059,EMP014,LX733,SPEC_C01,2025-10-13 07:13:28,2025-10-13 07:13:56,28,Pass,12,No,
PKG060,EMP016,LX733,SPEC_B02,2025-10-13 08:35:41,2025-10-13 08:36:40,59,Pass,16,No,
PKG061,EMP008,LX721,SPEC_B02,2025-10-13 08:18:48,2025-10-13 08:19:45,57,Pass,16,No,
PKG062,EMP009,LX740,SPEC_D03,2025-10-13 08:19:08,2025-10-13 08:20:31,83,Pass,16,No,
PKG063,EMP004,LX735,SPEC_B01,2025-10-13 09:08:32,2025-10-13 09:09:20,48,Minor Error,15,No,Item swapped position
PKG064,EMP020,LX745,SPEC_C02,2025-10-13 07:55:39,2025-10-13 07:56:49,70,Pass,13,No,Improved speed
PKG065,EMP004,LX745,SPEC_B02,2025-10-13 07:39:33,2025-10-13 07:39:53,20,Pass,17,No,
PKG066,EMP001,LX755,SPEC_D03,2025-10-13 07:23:48,2025-10-13 07:24:49,61,Pass,16,No,
PKG067,EMP011,LX760,SPEC_C02,2025-10-13 07:04:01,2025-10-13 07:04:54,53,Pass,13,No,
PKG068,EMP014,LX740,SPEC_D01,2025-10-13 07:50:44,2025-10-13 07:52:09,85,Minor Error,14,No,Missing one snack item
PKG069,EMP014,LX745,SPEC_B01,2025-10-13 09:18:04,2025-10-13 09:19:31,87,Pass,16,No,
PKG070,EMP018,LX721,SPEC_C01,2025-10-13 07:48:20,2025-10-13 07:49:01,41,Rework Required,12,Yes,Slow due to product shortage
PKG071,EMP020,LX740,SPEC_D02,2025-10-13 08:30:38,2025-10-13 08:31:49,71,Minor Error,16,No,Missing one snack item
PKG072,EMP017,LX750,SPEC_B01,2025-10-13 09:29:54,2025-10-13 09:30:19,25,Pass,16,No,Improved speed
PKG073,EMP020,LX740,SPEC_A02,2025-10-13 07:34:08,2025-10-13 07:35:02,54,Pass,12,No,
PKG074,EMP005,LX721,SPEC_A01,2025-10-13 07:36:51,2025-10-13 07:38:06,75,Minor Error,15,No,Item swapped position
PKG075,EMP015,LX745,SPEC_B02,2025-10-13 08:14:51,2025-10-13 08:16:09,78,Pass,16,No,
PKG076,EMP005,LX721,SPEC_A02,2025-10-13 08:26:05,2025-10-13 08:26:48,43,Minor Error,12,No,
PKG077,EMP002,LX755,SPEC_B02,2025-10-13 07:03:08,2025-10-13 07:04:21,73,Minor Error,15,No,
PKG078,EMP017,LX755,SPEC_C02,2025-10-13 08:30:51,2025-10-13 08:32:10,79,Pass,12,No,Improved speed
PKG079,EMP015,LX730,SPEC_D02,2025-10-13 08:32:53,2025-10-13 08:33:41,48,Pass,14,No,
PKG080,EMP017,LX750,SPEC_B02,2025-10-13 07:44:59,2025-10-13 07:46:10,71,Pass,15,No,
PKG081,EMP008,LX735,SPEC_C02,2025-10-13 07:57:18,2025-10-13 07:58:42,84,Minor Error,11,No,Missing one snack item
PKG082,EMP005,LX733,SPEC_D01,2025-10-13 07:11:43,2025-10-13 07:12:25,42,Pass,14,No,
PKG083,EMP014,LX740,SPEC_D03,2025-10-13 08:37:13,2025-10-13 08:38:21,68,Pass,15,No,
PKG084,EMP014,LX745,SPEC_A01,2025-10-13 09:07:12,2025-10-13 09:08:15,63,Pass,14,No,
PKG085,EMP012,LX735,SPEC_D01,2025-10-13 08:24:25,2025-10-13 08:25:48,83,Pass,16,No,Improved speed
PKG086,EMP020,LX733,SPEC_D02,2025-10-13 07:29:55,2025-10-13 07:30:44,49,Pass,15,No,
PKG087,EMP001,LX745,SPEC_C02,2025-10-13 08:20:24,2025-10-13 08:21:00,36,Minor Error,12,No,Missing one snack item
PKG088,EMP020,LX755,SPEC_A01,2025-10-13 08:17:35,2025-10-13 08:19:05,90,Pass,15,No,
PKG089,EMP003,LX745,SPEC_B01,2025-10-13 08:36:04,2025-10-13 08:36:42,38,Minor Error,15,No,Layout unclear
PKG090,EMP013,LX740,SPEC_B02,2025-10-13 08:34:09,2025-10-13 08:35:05,56,Pass,16,No,
PKG091,EMP009,LX745,SPEC_C01,2025-10-13 06:52:21,2025-10-13 06:53:36,75,Pass,11,No,Improved speed
PKG092,EMP002,LX740,SPEC_B02,2025-10-13 09:27:31,2025-10-13 09:27:54,23,Pass,17,No,
PKG093,EMP001,LX733,SPEC_B02,2025-10-13 06:35:33,2025-10-13 06:36:07,34,Minor Error,15,No,Missing one snack item
PKG094,EMP016,LX726,SPEC_B02,2025-10-13 08:36:59,2025-10-13 08:37:46,47,Pass,16,No,
PKG095,EMP020,LX760,SPEC_A02,2025-10-13 07:14:43,2025-10-13 07:15:37,54,Minor Error,12,No,Item swapped position
PKG096,EMP010,LX760,SPEC_D01,2025-10-13 08:18:18,2025-10-13 08:18:58,40,Pass,14,No,Improved speed
PKG097,EMP008,LX726,SPEC_C01,2025-10-13 09:13:57,2025-10-13 09:14:27,30,Pass,13,No,
PKG098,EMP012,LX755,SPEC_D01,2025-10-13 08:11:11,2025-10-13 08:11:34,23,Pass,16,No,
PKG099,EMP001,LX745,SPEC_D02,2025-10-13 06:58:49,2025-10-13 06:59:59,70,Pass,15,No,
PKG100,EMP005,LX745,SPEC_B01,2025-10-13 08:52:28,2025-10-13 08:53:17,49,Pass,17,No,Improved speed
PKG101,EMP016,LX750,SPEC_D01,2025-10-13 09:11:47,2025-10-13 09:12:36,49,Pass,15,No,
PKG102,EMP003,LX735,SPEC_D02,2025-10-13 07:36:35,2025-10-13 07:37:49,74,Pass,16,No,Improved speed
PKG103,EMP013,LX740,SPEC_A01,2025-10-13 08:44:58,2025-10-13 08:45:54,56,Pass,13,No,
PKG104,EMP007,LX740,SPEC_C01,2025-10-13 08:02:56,2025-10-13 08:03:46,50,Pass,13,No,
PKG105,EMP018,LX721,SPEC_D03,2025-10-13 07:22:10,2025-10-13 07:22:35,25,Rework Required,15,Yes,Slow due to product shortage
PKG106,EMP014,LX750,SPEC_D03,2025-10-13 07:35:37,2025-10-13 07:36:52,75,Pass,16,No,
PKG107,EMP001,LX726,SPEC_C01,2025-10-13 07:30:30,2025-10-13 07:31:36,66,Pass,13,No,
PKG108,EMP010,LX760,SPEC_C02,2025-10-13 08:39:13,2025-10-13 08:40:38,85,Minor Error,13,No,Layout unclear
PKG109,EMP014,LX755,SPEC_C02,2025-10-13 08:06:04,2025-10-13 08:07:17,73,Pass,12,No,
PKG110,EMP009,LX733,SPEC_A02,2025-10-13 07:22:35,2025-10-13 07:23:30,55,Pass,12,No,Improved speed
PKG111,EMP006,LX733,SPEC_B02,2025-10-13 08:42:13,2025-10-13 08:43:03,50,Pass,17,No,Improved speed
PKG112,EMP017,LX760,SPEC_C01,2025-10-13 06:57:27,2025-10-13 06:58:06,39,Pass,12,No,
PKG113,EMP012,LX730,SPEC_C01,2025-10-13 06:33:51,2025-10-13 06:35:14,83,Rework Required,11,Yes,Training required
PKG114,EMP002,LX721,SPEC_D03,2025-10-13 07:49:46,2025-10-13 07:50:17,31,Minor Error,16,No,Item swapped position
PKG115,EMP001,LX760,SPEC_C01,2025-10-13 08:38:10,2025-10-13 08:39:26,76,Pass,12,No,
PKG116,EMP006,LX721,SPEC_C01,2025-10-13 08:40:27,2025-10-13 08:40:56,29,Minor Error,11,No,
PKG117,EMP016,LX726,SPEC_A01,2025-10-13 07:11:25,2025-10-13 07:11:59,34,Minor Error,15,No,Layout unclear
PKG118,EMP003,LX733,SPEC_A02,2025-10-13 09:02:23,2025-10-13 09:03:31,68,Pass,14,No,Improved speed
PKG119,EMP020,LX733,SPEC_D03,2025-10-13 08:13:52,2025-10-13 08:15:04,72,Minor Error,16,No,Layout unclear
PKG120,EMP019,LX745,SPEC_C01,2025-10-13 09:05:16,2025-10-13 09:05:38,22,Pass,13,No,
